entity1,relationship,entity2
Product_312,belongs_to_category,Home
Product_816,reviewed_by,Customer_899
Product_834,similar_to,Product_1709
Product_925,complements,Product_307
Product_301,bought_by,Customer_357
Product_558,complements,Product_826
Product_211,similar_to,Product_1253
Product_26,bought_by,Customer_778
Product_1439,bought_by,Customer_838
Product_651,complements,Product_190
Product_426,belongs_to_category,Books
Product_1869,sold_by,Seller_23
Product_214,reviewed_by,Customer_135
Product_1112,sold_by,Seller_314
Product_1885,bought_by,Customer_1839
Product_1820,similar_to,Product_1189
Product_35,sold_by,Seller_2
Product_1327,complements,Product_1122
Product_828,reviewed_by,Customer_380
Product_52,bought_by,Customer_1235
Product_1461,sold_by,Seller_345
Product_1213,bought_by,Customer_1922
Product_1259,belongs_to_category,Beauty
Product_997,sold_by,Seller_402
Product_390,belongs_to_category,Grocery
Product_1279,complements,Product_1741
Product_1684,belongs_to_category,Home
Product_599,reviewed_by,Customer_1302
Product_1830,similar_to,Product_1501
Product_286,sold_by,Seller_35
Product_458,bought_by,Customer_352
Product_1446,belongs_to_category,Beauty
Product_803,sold_by,Seller_215
Product_1767,reviewed_by,Customer_1245
Product_869,belongs_to_category,Beauty
Product_511,belongs_to_category,Books
Product_1442,bought_by,Customer_268
Product_315,belongs_to_category,Grocery
Product_1387,complements,Product_807
Product_903,bought_by,Customer_1028
Product_415,bought_by,Customer_386
Product_1230,bought_by,Customer_897
Product_1912,bought_by,Customer_1839
Product_575,bought_by,Customer_1645
Product_80,reviewed_by,Customer_1993
Product_283,complements,Product_951
Product_27,belongs_to_category,Books
Product_1342,bought_by,Customer_1932
Product_1483,bought_by,Customer_1453
Product_820,sold_by,Seller_200
Product_1398,sold_by,Seller_66
Product_1307,reviewed_by,Customer_1460
Product_1334,complements,Product_395
Product_490,reviewed_by,Customer_458
Product_1355,reviewed_by,Customer_1616
Product_1125,belongs_to_category,Books
Product_992,reviewed_by,Customer_603
Product_1222,bought_by,Customer_1370
Product_354,reviewed_by,Customer_122
Product_1987,bought_by,Customer_670
Product_131,sold_by,Seller_394
Product_1481,reviewed_by,Customer_1518
Product_1157,belongs_to_category,Grocery
Product_1911,similar_to,Product_1127
Product_1851,bought_by,Customer_1801
Product_1255,complements,Product_1015
Product_946,complements,Product_1289
Product_1041,belongs_to_category,Fashion
Product_216,reviewed_by,Customer_1908
Product_1410,complements,Product_90
Product_1298,reviewed_by,Customer_1763
Product_375,belongs_to_category,Fashion
Product_858,belongs_to_category,Books
Product_57,complements,Product_1933
Product_403,similar_to,Product_178
Product_1582,reviewed_by,Customer_1282
Product_670,sold_by,Seller_344
Product_1144,belongs_to_category,Fashion
Product_735,reviewed_by,Customer_1636
Product_673,similar_to,Product_13
Product_219,similar_to,Product_880
Product_700,reviewed_by,Customer_1897
Product_1203,reviewed_by,Customer_143
Product_758,bought_by,Customer_481
Product_43,sold_by,Seller_161
Product_45,sold_by,Seller_486
Product_826,reviewed_by,Customer_1106
Product_834,similar_to,Product_856
Product_1766,similar_to,Product_1980
Product_1971,complements,Product_1341
Product_1413,complements,Product_1032
Product_1403,reviewed_by,Customer_902
Product_683,reviewed_by,Customer_862
Product_375,sold_by,Seller_51
Product_1646,similar_to,Product_126
Product_1541,sold_by,Seller_119
Product_1120,belongs_to_category,Electronics
Product_111,complements,Product_903
Product_723,bought_by,Customer_129
Product_1966,bought_by,Customer_542
Product_1595,bought_by,Customer_398
Product_1633,belongs_to_category,Beauty
Product_336,complements,Product_1324
Product_248,reviewed_by,Customer_220
Product_692,similar_to,Product_1201
Product_1844,similar_to,Product_434
Product_1711,sold_by,Seller_214
Product_62,sold_by,Seller_325
Product_141,bought_by,Customer_1501
Product_624,sold_by,Seller_85
Product_588,belongs_to_category,Electronics
Product_1710,sold_by,Seller_322
Product_172,sold_by,Seller_31
Product_333,complements,Product_1052
Product_147,belongs_to_category,Grocery
Product_588,belongs_to_category,Grocery
Product_80,sold_by,Seller_309
Product_1676,sold_by,Seller_465
Product_1898,bought_by,Customer_862
Product_1181,reviewed_by,Customer_1024
Product_136,bought_by,Customer_1447
Product_572,reviewed_by,Customer_1509
Product_132,similar_to,Product_1071
Product_1565,belongs_to_category,Beauty
Product_367,complements,Product_646
Product_404,bought_by,Customer_1911
Product_483,bought_by,Customer_688
Product_1450,bought_by,Customer_1727
Product_1820,reviewed_by,Customer_783
Product_202,similar_to,Product_1486
Product_1278,sold_by,Seller_26
Product_1694,belongs_to_category,Grocery
Product_1954,reviewed_by,Customer_1195
Product_1467,sold_by,Seller_361
Product_1721,sold_by,Seller_200
Product_178,reviewed_by,Customer_1946
Product_971,sold_by,Seller_142
Product_324,complements,Product_1501
Product_669,belongs_to_category,Home
Product_1707,belongs_to_category,Books
Product_1993,complements,Product_995
Product_694,reviewed_by,Customer_1156
Product_1851,belongs_to_category,Electronics
Product_115,similar_to,Product_1128
Product_610,bought_by,Customer_1889
Product_819,complements,Product_1609
Product_1394,sold_by,Seller_406
Product_1174,belongs_to_category,Fashion
Product_41,bought_by,Customer_426
Product_593,sold_by,Seller_145
Product_1566,complements,Product_1942
Product_696,sold_by,Seller_436
Product_1028,reviewed_by,Customer_1594
Product_861,belongs_to_category,Electronics
Product_629,bought_by,Customer_1166
Product_1512,belongs_to_category,Home
Product_1192,bought_by,Customer_1282
Product_1460,bought_by,Customer_473
Product_201,reviewed_by,Customer_1799
Product_171,bought_by,Customer_1283
Product_1976,complements,Product_359
Product_1816,sold_by,Seller_403
Product_254,reviewed_by,Customer_1759
Product_1475,reviewed_by,Customer_93
Product_1844,reviewed_by,Customer_1198
Product_1392,sold_by,Seller_139
Product_1791,belongs_to_category,Beauty
Product_634,similar_to,Product_849
Product_1229,complements,Product_45
Product_266,belongs_to_category,Grocery
Product_124,complements,Product_1902
Product_1264,reviewed_by,Customer_913
Product_589,belongs_to_category,Books
Product_104,complements,Product_265
Product_1259,complements,Product_757
Product_936,complements,Product_796
Product_481,sold_by,Seller_208
Product_1901,bought_by,Customer_539
Product_1785,complements,Product_365
Product_616,belongs_to_category,Electronics
Product_590,belongs_to_category,Fashion
Product_1356,bought_by,Customer_1603
Product_507,bought_by,Customer_452
Product_1394,belongs_to_category,Books
Product_1597,bought_by,Customer_636
Product_1888,bought_by,Customer_1066
Product_864,sold_by,Seller_25
Product_1739,bought_by,Customer_1381
Product_1137,sold_by,Seller_249
Product_1753,belongs_to_category,Sports
Product_1719,belongs_to_category,Home
Product_1593,belongs_to_category,Books
Product_462,bought_by,Customer_1134
Product_1664,similar_to,Product_1734
Product_1891,complements,Product_1477
Product_1539,sold_by,Seller_326
Product_1577,similar_to,Product_1385
Product_1162,similar_to,Product_1264
Product_1990,belongs_to_category,Electronics
Product_1687,similar_to,Product_1060
Product_1772,belongs_to_category,Books
Product_1939,similar_to,Product_1613
Product_1298,similar_to,Product_988
Product_1865,complements,Product_336
Product_1231,reviewed_by,Customer_1907
Product_1089,sold_by,Seller_364
Product_908,complements,Product_1918
Product_789,sold_by,Seller_497
Product_391,sold_by,Seller_275
Product_401,similar_to,Product_847
Product_877,reviewed_by,Customer_118
Product_113,belongs_to_category,Books
Product_1889,sold_by,Seller_69
Product_1139,reviewed_by,Customer_1978
Product_773,complements,Product_1928
Product_1186,belongs_to_category,Sports
Product_1113,similar_to,Product_1099
Product_1520,sold_by,Seller_359
Product_1934,similar_to,Product_1213
Product_1945,complements,Product_1559
Product_693,bought_by,Customer_834
Product_839,belongs_to_category,Books
Product_167,belongs_to_category,Books
Product_1557,similar_to,Product_121
Product_1994,complements,Product_442
Product_158,reviewed_by,Customer_526
Product_732,reviewed_by,Customer_1861
Product_1591,sold_by,Seller_484
Product_203,belongs_to_category,Sports
Product_981,reviewed_by,Customer_1851
Product_767,belongs_to_category,Electronics
Product_1587,similar_to,Product_1026
Product_348,similar_to,Product_1997
Product_290,sold_by,Seller_299
Product_1082,complements,Product_1484
Product_439,similar_to,Product_266
Product_1328,belongs_to_category,Home
Product_1395,sold_by,Seller_197
Product_1958,complements,Product_1918
Product_1560,belongs_to_category,Electronics
Product_203,complements,Product_1470
Product_1446,bought_by,Customer_343
Product_1207,belongs_to_category,Beauty
Product_1713,complements,Product_1795
Product_239,belongs_to_category,Beauty
Product_831,complements,Product_1977
Product_1428,complements,Product_567
Product_806,similar_to,Product_923
Product_416,sold_by,Seller_376
Product_844,similar_to,Product_1217
Product_509,belongs_to_category,Fashion
Product_58,sold_by,Seller_490
Product_542,belongs_to_category,Home
Product_1468,reviewed_by,Customer_1449
Product_1334,sold_by,Seller_312
Product_1059,bought_by,Customer_1741
Product_1396,sold_by,Seller_76
Product_448,complements,Product_64
Product_1037,sold_by,Seller_66
Product_786,complements,Product_285
Product_774,similar_to,Product_84
Product_1367,bought_by,Customer_593
Product_1406,sold_by,Seller_234
Product_408,similar_to,Product_785
Product_243,similar_to,Product_459
Product_1077,complements,Product_1635
Product_993,complements,Product_155
Product_30,bought_by,Customer_965
Product_1940,reviewed_by,Customer_779
Product_1000,sold_by,Seller_305
Product_689,complements,Product_218
Product_1339,complements,Product_1063
Product_619,complements,Product_752
Product_482,complements,Product_692
Product_1598,bought_by,Customer_1352
Product_1855,reviewed_by,Customer_1444
Product_1420,complements,Product_1637
Product_1764,complements,Product_1661
Product_1504,sold_by,Seller_53
Product_1052,sold_by,Seller_262
Product_1054,sold_by,Seller_24
Product_1063,belongs_to_category,Electronics
Product_348,sold_by,Seller_148
Product_1543,complements,Product_712
Product_1823,similar_to,Product_354
Product_1763,similar_to,Product_1307
Product_1352,bought_by,Customer_1085
Product_1924,bought_by,Customer_1105
Product_1179,sold_by,Seller_172
Product_686,bought_by,Customer_913
Product_298,sold_by,Seller_52
Product_179,similar_to,Product_1060
Product_1287,belongs_to_category,Home
Product_932,complements,Product_507
Product_390,sold_by,Seller_157
Product_72,belongs_to_category,Beauty
Product_158,belongs_to_category,Home
Product_543,bought_by,Customer_659
Product_1644,sold_by,Seller_29
Product_1158,bought_by,Customer_638
Product_649,reviewed_by,Customer_1634
Product_772,bought_by,Customer_1521
Product_754,sold_by,Seller_44
Product_676,reviewed_by,Customer_803
Product_597,complements,Product_1229
Product_1841,complements,Product_432
Product_258,bought_by,Customer_1980
Product_708,similar_to,Product_1994
Product_1447,sold_by,Seller_97
Product_764,complements,Product_411
Product_1273,similar_to,Product_1045
Product_376,sold_by,Seller_450
Product_321,reviewed_by,Customer_1591
Product_1564,reviewed_by,Customer_1051
Product_696,sold_by,Seller_267
Product_1823,belongs_to_category,Sports
Product_422,complements,Product_1474
Product_1348,bought_by,Customer_1834
Product_1060,sold_by,Seller_36
Product_376,similar_to,Product_1724
Product_1416,complements,Product_1424
Product_1000,similar_to,Product_1793
Product_898,reviewed_by,Customer_501
Product_1776,complements,Product_869
Product_651,reviewed_by,Customer_1218
Product_945,reviewed_by,Customer_160
Product_137,bought_by,Customer_326
Product_1137,bought_by,Customer_1649
Product_870,belongs_to_category,Sports
Product_1838,bought_by,Customer_748
Product_305,complements,Product_987
Product_16,sold_by,Seller_156
Product_848,sold_by,Seller_373
Product_1970,reviewed_by,Customer_1331
Product_765,similar_to,Product_1940
Product_1417,reviewed_by,Customer_1457
Product_757,similar_to,Product_1645
Product_77,belongs_to_category,Fashion
Product_945,sold_by,Seller_468
Product_1947,similar_to,Product_624
Product_1252,bought_by,Customer_14
Product_1746,complements,Product_1861
Product_1407,sold_by,Seller_171
Product_928,complements,Product_1258
Product_1907,reviewed_by,Customer_1161
Product_1773,bought_by,Customer_459
Product_1036,complements,Product_1070
Product_484,similar_to,Product_516
Product_1001,complements,Product_1581
Product_898,similar_to,Product_1643
Product_642,similar_to,Product_1173
Product_1492,reviewed_by,Customer_1206
Product_1313,bought_by,Customer_847
Product_190,sold_by,Seller_352
Product_1897,sold_by,Seller_269
Product_1383,belongs_to_category,Electronics
Product_1093,bought_by,Customer_800
Product_1553,bought_by,Customer_1389
Product_595,bought_by,Customer_194
Product_1012,belongs_to_category,Fashion
Product_155,similar_to,Product_1078
Product_1243,reviewed_by,Customer_583
Product_1509,similar_to,Product_784
Product_263,sold_by,Seller_233
Product_1773,complements,Product_191
Product_1159,bought_by,Customer_477
Product_771,bought_by,Customer_1436
Product_701,similar_to,Product_1721
Product_386,complements,Product_1731
Product_819,similar_to,Product_1784
Product_1852,similar_to,Product_1167
Product_559,complements,Product_1837
Product_1410,belongs_to_category,Grocery
Product_1341,similar_to,Product_720
Product_254,complements,Product_1397
Product_760,sold_by,Seller_424
Product_1710,sold_by,Seller_361
Product_697,complements,Product_737
Product_1861,complements,Product_1655
Product_1880,sold_by,Seller_71
Product_406,reviewed_by,Customer_1437
Product_1579,reviewed_by,Customer_1690
Product_1827,complements,Product_1358
Product_1716,belongs_to_category,Books
Product_1696,belongs_to_category,Electronics
Product_1916,bought_by,Customer_472
Product_908,similar_to,Product_1700
Product_1631,reviewed_by,Customer_1513
Product_1440,similar_to,Product_980
Product_1526,sold_by,Seller_448
Product_392,belongs_to_category,Electronics
Product_1248,belongs_to_category,Fashion
Product_1664,reviewed_by,Customer_798
Product_1309,complements,Product_1118
Product_965,belongs_to_category,Sports
Product_268,sold_by,Seller_85
Product_242,belongs_to_category,Fashion
Product_729,belongs_to_category,Sports
Product_377,complements,Product_1658
Product_534,reviewed_by,Customer_409
Product_1429,complements,Product_487
Product_1257,sold_by,Seller_480
Product_1231,reviewed_by,Customer_1462
Product_376,sold_by,Seller_176
Product_1286,sold_by,Seller_271
Product_1411,complements,Product_1254
Product_1100,bought_by,Customer_1749
Product_115,sold_by,Seller_68
Product_611,complements,Product_1965
Product_1605,complements,Product_557
Product_1590,sold_by,Seller_233
Product_1206,belongs_to_category,Home
Product_1836,similar_to,Product_657
Product_1698,bought_by,Customer_1517
Product_1904,belongs_to_category,Beauty
Product_214,reviewed_by,Customer_1378
Product_1133,similar_to,Product_1719
Product_192,sold_by,Seller_296
Product_1876,bought_by,Customer_1750
Product_570,reviewed_by,Customer_993
Product_1122,similar_to,Product_159
Product_325,complements,Product_259
Product_1436,similar_to,Product_1757
Product_203,sold_by,Seller_493
Product_198,bought_by,Customer_697
Product_303,complements,Product_1756
Product_283,reviewed_by,Customer_392
Product_94,complements,Product_1976
Product_1693,sold_by,Seller_236
Product_540,sold_by,Seller_250
Product_424,complements,Product_152
Product_1052,bought_by,Customer_882
Product_346,complements,Product_817
Product_703,complements,Product_1825
Product_1366,complements,Product_1230
Product_473,belongs_to_category,Grocery
Product_1710,reviewed_by,Customer_1010
Product_1360,sold_by,Seller_57
Product_658,reviewed_by,Customer_1150
Product_1160,similar_to,Product_1296
Product_802,reviewed_by,Customer_1062
Product_1722,reviewed_by,Customer_1247
Product_1690,reviewed_by,Customer_1937
Product_248,similar_to,Product_1492
Product_1725,similar_to,Product_1827
Product_81,similar_to,Product_752
Product_1060,bought_by,Customer_1079
Product_1676,belongs_to_category,Grocery
Product_591,bought_by,Customer_1179
Product_1827,similar_to,Product_1959
Product_506,reviewed_by,Customer_791
Product_869,similar_to,Product_1846
Product_1778,belongs_to_category,Fashion
Product_1935,belongs_to_category,Beauty
Product_1720,belongs_to_category,Sports
Product_1309,similar_to,Product_147
Product_695,bought_by,Customer_1202
Product_933,similar_to,Product_831
Product_343,reviewed_by,Customer_343
Product_226,sold_by,Seller_384
Product_1694,complements,Product_718
Product_1406,complements,Product_826
Product_1852,bought_by,Customer_1830
Product_1704,complements,Product_1658
Product_875,reviewed_by,Customer_228
Product_1550,belongs_to_category,Fashion
Product_1399,belongs_to_category,Grocery
Product_1798,sold_by,Seller_464
Product_1912,reviewed_by,Customer_1939
Product_1367,bought_by,Customer_212
Product_984,belongs_to_category,Beauty
Product_808,bought_by,Customer_402
Product_1998,similar_to,Product_1365
Product_1927,reviewed_by,Customer_102
Product_597,complements,Product_1383
Product_949,bought_by,Customer_1127
Product_889,similar_to,Product_1382
Product_1916,complements,Product_1599
Product_1974,sold_by,Seller_7
Product_925,belongs_to_category,Sports
Product_1015,belongs_to_category,Fashion
Product_530,sold_by,Seller_339
Product_1509,complements,Product_396
Product_1553,similar_to,Product_193
Product_850,reviewed_by,Customer_168
Product_1651,complements,Product_1816
Product_1222,sold_by,Seller_155
Product_1775,sold_by,Seller_180
Product_403,bought_by,Customer_1701
Product_1096,similar_to,Product_779
Product_871,reviewed_by,Customer_81
Product_633,similar_to,Product_1165
Product_237,similar_to,Product_1174
Product_1396,belongs_to_category,Home
Product_491,complements,Product_1614
Product_1914,sold_by,Seller_108
Product_1142,complements,Product_71
Product_879,complements,Product_1171
Product_1726,bought_by,Customer_1751
Product_1810,reviewed_by,Customer_629
Product_1808,sold_by,Seller_422
Product_1748,similar_to,Product_1116
Product_1371,complements,Product_58
Product_430,sold_by,Seller_230
Product_890,reviewed_by,Customer_1136
Product_985,similar_to,Product_1149
Product_189,complements,Product_367
Product_1368,sold_by,Seller_431
Product_971,sold_by,Seller_457
Product_1011,reviewed_by,Customer_1720
Product_1765,reviewed_by,Customer_384
Product_1042,sold_by,Seller_165
Product_1375,complements,Product_1564
Product_1076,reviewed_by,Customer_945
Product_1797,complements,Product_1244
Product_1365,complements,Product_1019
Product_1143,belongs_to_category,Electronics
Product_1503,sold_by,Seller_28
Product_1708,similar_to,Product_929
Product_1298,belongs_to_category,Electronics
Product_1792,complements,Product_404
Product_1957,reviewed_by,Customer_820
Product_329,sold_by,Seller_490
Product_1135,belongs_to_category,Grocery
Product_244,sold_by,Seller_431
Product_229,belongs_to_category,Home
Product_1527,reviewed_by,Customer_1404
Product_648,complements,Product_803
Product_1793,bought_by,Customer_1908
Product_409,bought_by,Customer_624
Product_1191,similar_to,Product_24
Product_1957,reviewed_by,Customer_1177
Product_1708,similar_to,Product_836
Product_1312,bought_by,Customer_1087
Product_1646,similar_to,Product_1319
Product_1454,complements,Product_1020
Product_1666,bought_by,Customer_40
Product_1950,complements,Product_797
Product_38,belongs_to_category,Books
Product_1121,bought_by,Customer_44
Product_1967,sold_by,Seller_85
Product_1517,bought_by,Customer_1923
Product_1326,complements,Product_550
Product_959,reviewed_by,Customer_526
Product_294,complements,Product_1061
Product_504,complements,Product_731
Product_1200,similar_to,Product_1342
Product_1711,sold_by,Seller_275
Product_582,sold_by,Seller_269
Product_891,belongs_to_category,Books
Product_1551,complements,Product_1299
Product_275,similar_to,Product_661
Product_1788,reviewed_by,Customer_1182
Product_23,bought_by,Customer_1850
Product_998,belongs_to_category,Electronics
Product_284,belongs_to_category,Electronics
Product_300,reviewed_by,Customer_676
Product_1789,similar_to,Product_1701
Product_1307,sold_by,Seller_497
Product_1608,similar_to,Product_4
Product_94,complements,Product_449
Product_57,sold_by,Seller_460
Product_85,similar_to,Product_906
Product_356,similar_to,Product_69
Product_1703,bought_by,Customer_259
Product_754,belongs_to_category,Grocery
Product_1976,belongs_to_category,Beauty
Product_906,bought_by,Customer_1475
Product_834,similar_to,Product_794
Product_682,belongs_to_category,Fashion
Product_1296,belongs_to_category,Books
Product_1316,complements,Product_1064
Product_1403,similar_to,Product_936
Product_183,complements,Product_1587
Product_300,similar_to,Product_1818
Product_686,sold_by,Seller_37
Product_385,similar_to,Product_1045
Product_544,sold_by,Seller_327
Product_447,similar_to,Product_425
Product_1503,bought_by,Customer_1718
Product_906,belongs_to_category,Home
Product_1826,sold_by,Seller_62
Product_1903,similar_to,Product_454
Product_357,complements,Product_273
Product_1754,belongs_to_category,Electronics
Product_1979,sold_by,Seller_166
Product_1200,bought_by,Customer_667
Product_1724,belongs_to_category,Grocery
Product_624,complements,Product_366
Product_1074,reviewed_by,Customer_902
Product_1489,bought_by,Customer_1530
Product_670,belongs_to_category,Fashion
Product_1777,reviewed_by,Customer_1861
Product_214,reviewed_by,Customer_800
Product_332,belongs_to_category,Sports
Product_1130,bought_by,Customer_1930
Product_1761,belongs_to_category,Home
Product_147,bought_by,Customer_416
Product_899,bought_by,Customer_1971
Product_1120,similar_to,Product_1072
Product_1033,similar_to,Product_1352
Product_1471,sold_by,Seller_435
Product_1100,belongs_to_category,Home
Product_1841,sold_by,Seller_213
Product_954,complements,Product_178
Product_249,belongs_to_category,Fashion
Product_515,belongs_to_category,Fashion
Product_1629,sold_by,Seller_275
Product_1815,reviewed_by,Customer_1177
Product_1028,reviewed_by,Customer_1063
Product_802,reviewed_by,Customer_1236
Product_513,complements,Product_1226
Product_1967,bought_by,Customer_1997
Product_1483,belongs_to_category,Sports
Product_1050,bought_by,Customer_459
Product_102,reviewed_by,Customer_183
Product_818,bought_by,Customer_984
Product_1493,sold_by,Seller_298
Product_186,reviewed_by,Customer_1445
Product_1045,bought_by,Customer_698
Product_1373,sold_by,Seller_301
Product_1337,reviewed_by,Customer_1131
Product_927,sold_by,Seller_347
Product_792,reviewed_by,Customer_1472
Product_620,reviewed_by,Customer_1928
Product_1230,reviewed_by,Customer_1244
Product_613,bought_by,Customer_1338
Product_395,belongs_to_category,Sports
Product_530,complements,Product_73
Product_743,belongs_to_category,Electronics
Product_1016,similar_to,Product_1267
Product_246,similar_to,Product_1729
Product_1064,reviewed_by,Customer_1809
Product_885,similar_to,Product_1797
Product_73,belongs_to_category,Books
Product_119,similar_to,Product_1069
Product_957,complements,Product_1180
Product_1451,complements,Product_143
Product_945,bought_by,Customer_348
Product_1333,bought_by,Customer_1005
Product_911,reviewed_by,Customer_876
Product_1001,bought_by,Customer_1574
Product_509,belongs_to_category,Fashion
Product_815,bought_by,Customer_702
Product_452,bought_by,Customer_177
Product_1245,sold_by,Seller_346
Product_450,belongs_to_category,Books
Product_464,complements,Product_1090
Product_1333,similar_to,Product_172
Product_1967,similar_to,Product_1612
Product_1804,reviewed_by,Customer_1333
Product_1017,reviewed_by,Customer_231
Product_1211,similar_to,Product_931
Product_1236,reviewed_by,Customer_653
Product_10,similar_to,Product_611
Product_1117,bought_by,Customer_1535
Product_1751,complements,Product_679
Product_414,similar_to,Product_133
Product_1722,reviewed_by,Customer_1524
Product_782,similar_to,Product_954
Product_1217,similar_to,Product_1998
Product_112,reviewed_by,Customer_452
Product_51,belongs_to_category,Sports
Product_1505,similar_to,Product_1299
Product_1084,sold_by,Seller_115
Product_1355,belongs_to_category,Grocery
Product_255,reviewed_by,Customer_1275
Product_30,bought_by,Customer_930
Product_750,sold_by,Seller_418
Product_1135,bought_by,Customer_1174
Product_196,similar_to,Product_267
Product_689,sold_by,Seller_65
Product_951,belongs_to_category,Electronics
Product_1970,belongs_to_category,Electronics
Product_1047,bought_by,Customer_1320
Product_14,complements,Product_492
Product_402,complements,Product_1963
Product_838,bought_by,Customer_966
Product_235,belongs_to_category,Beauty
Product_1777,similar_to,Product_1753
Product_1880,complements,Product_1754
Product_1430,complements,Product_1519
Product_1668,similar_to,Product_727
Product_161,complements,Product_975
Product_1186,bought_by,Customer_1388
Product_606,similar_to,Product_1949
Product_1306,bought_by,Customer_496
Product_1039,complements,Product_115
Product_673,complements,Product_276
Product_1553,belongs_to_category,Sports
Product_1097,similar_to,Product_799
Product_1499,complements,Product_32
Product_92,bought_by,Customer_1545
Product_999,bought_by,Customer_1069
Product_420,reviewed_by,Customer_610
Product_760,similar_to,Product_53
Product_1181,sold_by,Seller_377
Product_342,similar_to,Product_1570
Product_857,similar_to,Product_888
Product_1096,reviewed_by,Customer_1329
Product_1524,similar_to,Product_824
Product_1327,sold_by,Seller_257
Product_1029,bought_by,Customer_522
Product_1037,belongs_to_category,Home
Product_786,bought_by,Customer_20
Product_179,similar_to,Product_840
Product_955,reviewed_by,Customer_1330
Product_1915,bought_by,Customer_1150
Product_898,reviewed_by,Customer_720
Product_1802,belongs_to_category,Sports
Product_485,reviewed_by,Customer_1878
Product_1834,similar_to,Product_449
Product_1595,belongs_to_category,Books
Product_1527,complements,Product_1052
Product_1871,sold_by,Seller_426
Product_331,belongs_to_category,Home
Product_245,reviewed_by,Customer_1865
Product_331,similar_to,Product_1192
Product_1425,reviewed_by,Customer_1019
Product_1520,reviewed_by,Customer_920
Product_1685,complements,Product_828
Product_1987,sold_by,Seller_145
Product_1920,belongs_to_category,Beauty
Product_883,similar_to,Product_1729
Product_1101,belongs_to_category,Books
Product_739,reviewed_by,Customer_1122
Product_1457,reviewed_by,Customer_431
Product_223,belongs_to_category,Electronics
Product_1739,similar_to,Product_1780
Product_697,complements,Product_936
Product_977,bought_by,Customer_1627
Product_954,belongs_to_category,Fashion
Product_1855,complements,Product_188
Product_119,similar_to,Product_921
Product_336,complements,Product_867
Product_1950,belongs_to_category,Fashion
Product_1050,reviewed_by,Customer_870
Product_535,sold_by,Seller_493
Product_240,similar_to,Product_1765
Product_45,reviewed_by,Customer_599
Product_1075,complements,Product_1825
Product_284,similar_to,Product_1233
Product_63,sold_by,Seller_418
Product_1831,sold_by,Seller_81
Product_560,reviewed_by,Customer_1407
Product_1746,bought_by,Customer_609
Product_1985,sold_by,Seller_220
Product_1980,similar_to,Product_107
Product_980,complements,Product_640
Product_1625,belongs_to_category,Sports
Product_487,sold_by,Seller_312
Product_1381,bought_by,Customer_1985
Product_1690,sold_by,Seller_255
Product_513,reviewed_by,Customer_210
Product_1829,sold_by,Seller_226
Product_495,complements,Product_980
Product_1417,complements,Product_1986
Product_378,belongs_to_category,Sports
Product_1512,bought_by,Customer_945
Product_795,bought_by,Customer_537
Product_461,complements,Product_226
Product_1582,belongs_to_category,Sports
Product_495,reviewed_by,Customer_431
Product_882,belongs_to_category,Home
Product_974,belongs_to_category,Home
Product_343,sold_by,Seller_397
Product_924,bought_by,Customer_444
Product_1512,similar_to,Product_470
Product_1907,bought_by,Customer_1521
